"","WT(+)","TetR(-)","TetR(+)","Total number of genes in pathway","P-value"
"GO:0015658~branched-chain amino acid transmembrane transporter activity","5","0","0","5","2.71e-07"
"GO:0015803~branched-chain amino acid transport","5","0","0","6","7.37e-07"
"Amino-acid transport","8","0","0","77","3.75e-06"
"Transport","13","0","0","723","0.002028425"
"GO:1902475~L-alpha-amino acid transmembrane transport","4","0","0","22","0.004543896"
"GO:0015807~L-amino acid transport","4","0","0","22","0.004543896"
"signal peptide","10","0","0","508","0.030297076"
"eco02010:ABC transporters","7","0","0","170","0.027053342"
"Signal","9","0","0","482","0.036177369"
"Purine biosynthesis","0","6","8","17","0.000952;0.019123624"
"eco01130:Biosynthesis of antibiotics","0","16","80","194","0.00092;1.25e-13"
"eco01110:Biosynthesis of secondary metabolites","0","19","114","292","0.001091918;8.45e-19"
"GO:0006189~'de novo' IMP biosynthetic process","0","5","0","12","0.008595963"
"eco01100:Metabolic pathways","0","30","201","685","0.001091918;3.1e-20"
"eco00230:Purine metabolism","0","10","0","87","0.001665616"
"GO:0044205~'de novo' UMP biosynthetic process","0","4","0","7","0.016351632"
"Decarboxylase","0","5","0","21","0.024790058"
"eco00240:Pyrimidine metabolism","0","8","0","62","0.00457219"
"Pyrimidine biosynthesis","0","4","7","11","0.028379762;0.008917719"
"Transmembrane beta strand","0","6","0","44","0.028379762"
"eco00250:Alanine, aspartate and glutamate metabolism","0","5","22","31","0.039474863;2.55e-08"
"Stress response","0","17","37","139","0.000114;0"
"GO:0005543~phospholipid binding","0","4","0","5","0.014426419"
"Amino-acid biosynthesis","0","0","52","103","2.1e-19"
"eco01230:Biosynthesis of amino acids","0","0","66","118","3.52e-19"
"Acetylation","0","0","38","97","1.39e-09"
"eco01200:Carbon metabolism","0","0","48","107","4.57e-09"
"Oxidoreductase","0","0","82","353","3.48e-08"
"Tricarboxylic acid cycle","0","0","15","22","6.26e-07"
"GO:0005829~cytosol","0","0","191","1033","1.15e-06"
"GO:0006099~tricarboxylic acid cycle","0","0","17","27","9.3e-06"
