Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
KEGG_PATHWAY,eco01100:Metabolic pathways,201,40.85365854,3.17E-22,"B3670, B3671, B1493, B3429, B3428, B1927, B0031, B0273, B1241, B0032, B0033, B3416, B3417, B0945, B3894, B3774, B1593, B4069, B2687, B3571, B0733, B1702, B2914, B1263, B3447, B2235, B1260, B1262, B1261, B0052, B1819, B0729, B1818, B0721, B0722, B0723, B0724, B0726, B2903, B1817, B0727, B0728, B2342, B3432, B3553, B1131, B3433, B2341, B2465, B3430, B3431, B2464, B1136, B1378, B0720, B4041, B3073, B3990, B0237, B2779, B3620, B3744, B1444, B3621, B3622, B2091, B2094, B2093, B4154, B2096, B2095, B2097, B0907, B0908, B0903, B4024, B4025, B3733, B3612, B3734, B3731, B1676, B3732, B2551, B1461, B2312, B2557, B4177, B4054, B0928, B3517, B2661, B3870, B0485, B2662, B0002, B0003, B0004, B1090, B1768, B3829, B2297, B1761, B0430, B3942, B0431, B0674, B2844, B1757, B1636, B1638, B0429, B1197, B2169, B2601, B3172, B4384, B0337, B3967, B2518, B3960, B4015, B1780, B4014, B4019, B3962, B4139, B4254, B3957, B3958, B3956, B1779, B2507, B1539, B3959, B4005, B4244, B4245, B3833, B3830, B1897, B4006, B1896, B3831, B2261, B2021, B2020, B0754, B1602, B2019, B0755, B2935, B0757, B1603, B0758, B0759, B2818, B1849, B0077, B1288, B0078, B0870, B0750, B1842, B3588, B2926, B2925, B2927, B3212, B3213, B1276, B2281, B2280, B2283, B2282, B3925, B2838, B2276, B2278, B2277, B2279, B3008, B1062, B2153, B3919, B1612, B1854, B0767, B0086, B2023, B2264, B0087, B2022, B2143, B1970, B2025, B2024, B3359, B2026, B3236, B2029",290,685,1564,1.582501888,3.10E-20,3.10E-20,2.50E-20
UP_KEYWORDS,Amino-acid biosynthesis,52,10.56910569,9.46E-22,"B3670, B4243, B3671, B2021, B2020, B0754, B2019, B3829, B2818, B0273, B0031, B0032, B0033, B0077, B0078, B3744, B0674, B0907, B0908, B3212, B3773, B3213, B3774, B4024, B2601, B3172, B2838, B2551, B3960, B1263, B4019, B3766, B3008, B1260, B4254, B1262, B4054, B1261, B3957, B3958, B3959, B2023, B3433, B2022, B2025, B3672, B2024, B0002, B3359, B0003, B2026, B0004",490,103,4139,4.264473945,2.10E-19,2.10E-19,1.78E-19
KEGG_PATHWAY,eco01230:Biosynthesis of amino acids,66,13.41463415,7.18E-21,"B3670, B3671, B2021, B2020, B2779, B0754, B0755, B2019, B2935, B3829, B2818, B0273, B0031, B0077, B0870, B0078, B3744, B2097, B0907, B0908, B2926, B2925, B3212, B3213, B3774, B4024, B1276, B3612, B2687, B2601, B1676, B3172, B2838, B2914, B2551, B3960, B1263, B4019, B3008, B1260, B4254, B1262, B4054, B1261, B0928, B3919, B3957, B1854, B3958, B1779, B3959, B2023, B3433, B2022, B3870, B2465, B2025, B2464, B2024, B0002, B3359, B1136, B0003, B2026, B0004, B0720",290,118,1564,3.01648159,7.04E-19,3.52E-19,2.84E-19
KEGG_PATHWAY,eco01110:Biosynthesis of secondary metabolites,114,23.17073171,2.59E-20,"B1090, B3670, B3671, B1493, B3429, B3428, B3829, B0031, B0273, B1241, B1004, B3942, B0674, B2844, B3417, B3774, B4069, B2601, B3172, B4384, B2914, B2518, B3608, B4015, B3960, B1780, B1263, B4014, B4019, B1260, B4254, B1262, B1261, B0729, B0721, B3957, B0722, B3958, B0723, B0724, B1779, B0726, B2903, B0727, B3959, B0728, B2342, B3432, B1131, B4005, B2341, B3433, B2465, B3430, B2464, B1136, B3833, B4006, B3830, B0720, B4041, B2261, B2021, B2020, B2779, B0754, B2019, B0755, B2935, B2818, B1849, B0077, B0870, B0078, B3744, B3588, B4154, B2097, B0908, B2926, B2925, B3212, B3213, B4024, B1276, B4025, B3612, B1676, B3925, B2838, B2551, B2312, B3008, B2557, B4054, B0928, B3919, B3517, B1854, B1612, B0767, B2023, B2264, B2022, B2025, B2024, B0002, B3359, B0003, B2026, B0004, B1732, B2029, B3236",290,292,1564,2.105526689,2.54E-18,8.45E-19,6.81E-19
KEGG_PATHWAY,eco01130:Biosynthesis of antibiotics,80,16.2601626,5.09E-15,"B3670, B3671, B2021, B2779, B0754, B0755, B2935, B2818, B1849, B0273, B0031, B1241, B0077, B0870, B0078, B3788, B3789, B4154, B2097, B0907, B0908, B2844, B2926, B2925, B3212, B3213, B3774, B4024, B1276, B4025, B4069, B3612, B2601, B1676, B3172, B3925, B2838, B2914, B2518, B2551, B3960, B1780, B2312, B2557, B4254, B4054, B0729, B0928, B3919, B0721, B3957, B1612, B0722, B1854, B3958, B0767, B0723, B0724, B1779, B0726, B2903, B0727, B3959, B0728, B2342, B1131, B4005, B2341, B3433, B2465, B2464, B0002, B3359, B1136, B3236, B4006, B1732, B3830, B2029, B0720",290,194,1564,2.223960185,5.00E-13,1.25E-13,1.01E-13
UP_KEYWORDS,Acetylation,38,7.723577236,1.25E-11,"B4381, B1493, B4384, B2779, B0754, B0237, B0755, B2935, B1849, B3509, B2551, B1241, B2597, B1004, B2579, B1482, B2097, B1854, B1656, B0767, B0723, B1779, B3417, B2926, B2925, B1817, B0727, B0903, B1131, B2465, B0485, B4069, B2266, B4025, B1136, B4006, B1676, B0720",490,97,4139,3.309110036,2.77E-09,1.39E-09,1.17E-09
KEGG_PATHWAY,eco01200:Carbon metabolism,48,9.756097561,2.33E-10,"B2779, B3925, B0755, B2935, B1702, B2914, B2551, B4015, B2297, B2154, B4014, B4154, B2097, B0729, B3919, B0907, B0721, B1612, B1854, B0722, B2844, B0767, B0723, B1779, B0724, B3956, B2926, B2903, B0726, B2925, B0727, B0728, B3894, B2341, B2465, B4069, B1276, B2464, B4025, B1378, B1136, B3612, B3236, B1479, B1732, B2029, B1676, B0720",290,107,1564,2.419336126,2.28E-08,4.57E-09,3.68E-09
UP_KEYWORDS,Oxidoreductase,82,16.66666667,4.71E-10,"B2020, B3908, B1646, B1602, B1647, B1603, B0837, B2133, B0031, B1241, B1288, B1761, B0430, B1004, B3942, B0431, B1444, B0871, B3588, B3787, B2091, B4154, B1482, B0945, B0429, B1638, B2927, B3212, B3894, B3213, B3012, B3774, B1479, B1710, B2326, B0104, B2281, B2280, B2283, B2480, B2282, B3011, B0733, B0812, B3608, B2276, B3001, B2278, B3365, B2277, B1587, B1224, B2235, B2279, B3962, B3440, B0052, B3087, B1415, B0325, B1656, B3958, B0723, B0724, B2989, B1779, B0726, B1539, B2903, B2661, B3553, B2341, B2660, B3433, B0002, B1378, B0123, B1136, B3236, B1732, B2029, B1412",490,353,4139,1.962178412,1.05E-07,3.48E-08,2.95E-08
KEGG_PATHWAY,"eco00250:Alanine, aspartate and glutamate metabolism",22,4.471544715,1.56E-09,"B3172, B4177, B1493, B0928, B3517, B3960, B3212, B2661, B3213, B0032, B1131, B0033, B4244, B3870, B1761, B0485, B2662, B4245, B3744, B2312, B0674, B4139",290,31,1564,3.827363737,1.53E-07,2.55E-08,2.06E-08
UP_KEYWORDS,Tricarboxylic acid cycle,15,3.048780488,1.13E-08,"B0729, B0721, B0722, B1612, B0723, B0724, B0727, B0728, B4015, B4016, B1276, B4014, B1136, B3236, B0720",490,22,4139,5.759276438,2.50E-06,6.26E-07,5.30E-07
