Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
UP_KEYWORDS,Stress response,37,8.767772512,1.39E-08,"B3190, B1305, B1304, B1307, B0437, B1306, B0438, B0439, B3686, B0473, B1563, B3169, B2531, B4179, B0233, B1564, B3687, B1445, B4050, B3083, B3041, B1160, B3162, B3022, B1020, B3021, B0303, B2526, B1438, B0607, B2782, B1112, B0441, B3179, B3414, B0762, B4326",400,139,4139,2.754370504,2.28E-06,2.28E-06,2.20E-06
GOTERM_MF_DIRECT,GO:0003677~DNA binding,60,14.21800948,1.18E-06,"B0315, B1328, B0439, B3828, B4312, B3067, B0232, B0551, B1166, B0278, B1564, B0313, B3181, B3183, B1284, B3261, B0226, B2405, B1558, B1439, B2846, B0989, B1916, B4224, B2760, B1275, B4225, B0461, B0540, B0620, B4347, B0544, B0346, B0467, B3292, B2759, B3405, B0537, B1625, B1340, B0373, B4178, B4299, B1345, B1545, B3129, B1027, B2193, B1141, B0294, B1140, B0603, B2782, B1374, B1450, B1530, B2783, B0442, B1531, B3558",268,387,3186,1.843110031,3.13E-04,3.13E-04,3.11E-04
GOTERM_BP_DIRECT,GO:0016226~iron-sulfur cluster assembly,10,2.369668246,1.13E-05,"B2526, B2811, B2525, B2528, B2527, B2529, B2530, B0156, B3414, B2524",288,19,3277,5.988669591,0.003589451,0.003595888,0.003539526
KEGG_PATHWAY,eco00540:Lipopolysaccharide biosynthesis,9,2.132701422,6.85E-05,"B3627, B3628, B3625, B3626, B3630, B1054, B3631, B3623, B3624",77,31,1564,5.896941768,0.003352832,0.00335835,0.00335835
GOTERM_BP_DIRECT,GO:0097428~protein maturation by iron-sulfur cluster transfer,6,1.421800948,9.03E-05,"B2526, B2528, B2527, B2529, B0156, B3414",288,7,3277,9.75297619,0.028396125,0.011427708,0.01124859
GOTERM_BP_DIRECT,GO:0009244~lipopolysaccharide core region biosynthetic process,10,2.369668246,1.07E-04,"B3627, B3628, B3625, B3626, B3629, B0815, B3630, B3631, B3623, B3624",288,24,3277,4.741030093,0.033703896,0.011427708,0.01124859
UP_KEYWORDS,Toxin,10,2.369668246,1.57E-04,"B1348, B2646, B3083, B3130, B3022, B2782, B4225, B1563, B0233, B1445",400,23,4139,4.498913043,0.02543673,0.012881906,0.012410617
GOTERM_BP_DIRECT,"GO:0006351~transcription, DNA-templated",49,11.61137441,2.00E-04,"B1328, B3828, B4312, B1563, B2531, B0232, B0551, B3783, B1564, B0313, B2017, B1040, B3022, B1284, B3261, B3021, B0226, B2405, B1558, B0546, B1439, B1438, B0989, B1916, B4224, B1275, B0464, B0620, B0346, B3292, B4062, B3130, B3405, B1306, B1625, B4178, B4299, B3129, B3082, B2193, B0294, B0603, B2782, B1450, B1530, B2783, B1531, B0564, B1696",288,332,3277,1.679352828,0.061722051,0.015925673,0.015676054
GOTERM_BP_DIRECT,"GO:0006355~regulation of transcription, DNA-templated",31,7.345971564,2.62E-04,"B4062, B3130, B1305, B0315, B1306, B3828, B4312, B1563, B4178, B2531, B3783, B0232, B1564, B3082, B2193, B1284, B3261, B0294, B3021, B1558, B0546, B0603, B1438, B2846, B0989, B4224, B2782, B2783, B0685, B1696, B0620",288,178,3277,1.981644039,0.080234021,0.01672501,0.016462862
UP_KEYWORDS,Transcription regulation,52,12.32227488,4.21E-04,"B1328, B3828, B4312, B3067, B1563, B2531, B0232, B0551, B3783, B1564, B0313, B2017, B3181, B1040, B3022, B1284, B3261, B3021, B0226, B2405, B1558, B0546, B1439, B1438, B0989, B1916, B4224, B1275, B0464, B0620, B0346, B3292, B4062, B3130, B3405, B1306, B1625, B4178, B4299, B3169, B3129, B3082, B2193, B0294, B0603, B2782, B1450, B1530, B2783, B1531, B0564, B1696",400,334,4139,1.610988024,0.066797877,0.023039631,0.022196718
UP_KEYWORDS,Transcription,52,12.32227488,6.51E-04,"B1328, B3828, B4312, B3067, B1563, B2531, B0232, B0551, B3783, B1564, B0313, B2017, B3181, B1040, B3022, B1284, B3261, B3021, B0226, B2405, B1558, B0546, B1439, B1438, B0989, B1916, B4224, B1275, B0464, B0620, B0346, B3292, B4062, B3130, B3405, B1306, B1625, B4178, B4299, B3169, B3129, B3082, B2193, B0294, B0603, B2782, B1450, B1530, B2783, B1531, B0564, B1696",400,340,4139,1.582558824,0.101312053,0.023422962,0.022566025
UP_KEYWORDS,DNA-binding,61,14.4549763,7.43E-04,"B0315, B1328, B3828, B3067, B2531, B0232, B0551, B1166, B1564, B0313, B2017, B3181, B3183, B1040, B1284, B3261, B3021, B0226, B2405, B1558, B0546, B1439, B1438, B0989, B1916, B4224, B2760, B1275, B4225, B0461, B0540, B0464, B0620, B4347, B0544, B0346, B3292, B4062, B3405, B1625, B1340, B0373, B4178, B4299, B1545, B3129, B1027, B3082, B2193, B1141, B0294, B0603, B2782, B1374, B1450, B1530, B2783, B1531, B0564, B1696, B3558",400,419,4139,1.506437947,0.114777071,0.023422962,0.022566025
UP_KEYWORDS,Fimbrium,10,2.369668246,8.57E-04,"B0138, B1503, B1502, B1504, B0293, B3043, B0938, B0135, B0136, B0137",400,28,4139,3.695535714,0.131161507,0.023422962,0.022566025
UP_KEYWORDS,DNA integration,7,1.658767773,0.00118481,"B0537, B0281, B1140, B1374, B4312, B1345, B1545",400,14,4139,5.17375,0.176691274,0.027758404,0.026742852
GOTERM_MF_DIRECT,GO:0004521~endoribonuclease activity,7,1.658767773,0.001275892,"B3083, B3022, B2782, B4225, B1563, B0233, B4347",268,16,3186,5.201026119,0.28794769,0.169693603,0.168417711
GOTERM_MF_DIRECT,GO:0005548~phospholipid transporter activity,4,0.947867299,0.002185135,"B3191, B3194, B3193, B3195",268,4,3186,11.8880597,0.441154248,0.193748601,0.192291844
GOTERM_BP_DIRECT,GO:0015914~phospholipid transport,4,0.947867299,0.002488318,"B3192, B3191, B3194, B3195",288,4,3277,11.37847222,0.548311506,0.105724787,0.104067658
GOTERM_BP_DIRECT,GO:0009271~phage shock,4,0.947867299,0.002488318,"B1305, B1304, B1307, B4050",288,4,3277,11.37847222,0.548311506,0.105724787,0.104067658
GOTERM_BP_DIRECT,GO:0044010~single-species biofilm formation,11,2.606635071,0.002651405,"B0226, B2958, B3022, B0461, B1112, B1167, B1166, B0551, B1039, B2017, B1038",288,42,3277,2.980076058,0.571267268,0.105724787,0.104067658
GOTERM_CC_DIRECT,GO:0009289~pilus,10,2.369668246,0.00272121,"B0138, B1503, B1502, B1504, B0293, B3043, B0938, B0135, B0136, B0137",255,36,2941,3.203703704,0.1129877,0.119733224,0.119733224
UP_KEYWORDS,Lipopolysaccharide biosynthesis,15,3.55450237,0.003414997,"B2032, B3627, B3628, B3625, B3626, B3618, B3629, B2034, B3630, B1054, B2033, B3631, B2038, B3623, B3624",400,66,4139,2.351704545,0.42937208,0.067654505,0.065179341
UP_KEYWORDS,Endonuclease,11,2.606635071,0.003712747,"B1348, B3083, B3130, B3022, B2782, B4225, B1340, B1563, B0233, B4347, B1159",400,40,4139,2.8455625,0.456661999,0.067654505,0.065179341
GOTERM_BP_DIRECT,GO:0046677~response to antibiotic,17,4.028436019,0.003827929,"B3191, B3594, B1053, B0546, B1348, B2617, B3311, B1563, B0463, B1532, B2038, B0135, B1531, B1663, B0762, B0841, B4337",288,89,3277,2.173416042,0.705787385,0.135678828,0.1335522
GOTERM_MF_DIRECT,"GO:0051537~2 iron, 2 sulfur cluster binding",9,2.132701422,0.003886846,"B2525, B2528, B2529, B2531, B4178, B2530, B0156, B3414, B0775",268,32,3186,3.343516791,0.645098711,0.258475265,0.256531842
UP_KEYWORDS,Repressor,25,5.924170616,0.004913771,"B3130, B3405, B1328, B3828, B1563, B4178, B2531, B0232, B1564, B3129, B0313, B2017, B3082, B2193, B0294, B3021, B0226, B1438, B4224, B2782, B1450, B1530, B2783, B0464, B0564",400,144,4139,1.796440972,0.554182143,0.080585839,0.077637577
GOTERM_MF_DIRECT,GO:0005543~phospholipid binding,4,0.947867299,0.005124437,"B3192, B1304, B3194, B3193",268,5,3186,9.510447761,0.74502885,0.272620068,0.270570293
INTERPRO,"IPR006119:Resolvase, N-terminal",4,0.947867299,0.006764077,"B1374, B0278, B1545, B0544",366,5,3956,8.646994536,0.989112935,1,1
INTERPRO,IPR007159:AbrB-like domain,4,0.947867299,0.006764077,"B4224, B2783, B3129, B4347",366,5,3956,8.646994536,0.989112935,1,1
INTERPRO,IPR008966:Adhesion domain,9,2.132701422,0.007060396,"B0138, B1503, B1502, B1504, B3043, B0938, B0135, B0136, B0137",366,32,3956,3.039959016,0.991075029,1,1
INTERPRO,IPR000259:Fimbrial-type adhesion domain,9,2.132701422,0.007060396,"B0138, B1503, B1502, B1504, B3043, B0938, B0135, B0136, B0137",366,32,3956,3.039959016,0.991075029,1,1
GOTERM_MF_DIRECT,GO:0008198~ferrous iron binding,7,1.658767773,0.007737463,"B3616, B2528, B2529, B4322, B0156, B3414, B2524",268,22,3186,3.78256445,0.873329867,0.319755514,0.317351337
GOTERM_MF_DIRECT,GO:0005515~protein binding,77,18.2464455,0.008671172,"B2181, B1095, B3195, B2340, B2811, B0437, B0439, B2617, B2012, B3067, B0473, B1563, B0198, B0199, B2530, B3783, B2299, B0630, B1564, B1248, B0631, B1446, B0599, B3183, B1160, B3022, B3261, B3021, B0226, B2526, B2646, B2525, B0426, B2528, B2527, B2529, B0628, B2760, B0387, B3414, B0464, B0189, B2524, B0467, B3170, B3130, B1304, B1625, B0736, B0737, B0738, B1021, B3686, B2674, B3169, B4179, B3168, B2038, B2676, B2631, B0851, B3687, B0775, B3162, B0600, B1579, B0607, B2782, B1374, B4202, B3199, B2781, B1530, B0685, B0762, B0401, B4326",268,712,3186,1.285646906,0.901390732,0.319755514,0.317351337
GOTERM_MF_DIRECT,GO:0000150~recombinase activity,4,0.947867299,0.009616707,"B1374, B0278, B1545, B0544",268,6,3186,7.925373134,0.923496862,0.319755514,0.317351337
GOTERM_BP_DIRECT,GO:0017148~negative regulation of translation,5,1.184834123,0.011584791,"B3083, B1716, B3022, B1563, B0233",288,11,3277,5.172032828,0.975696166,0.36955483,0.363762435
COG_ONTOLOGY,"DNA replication, recombination, and repair",9,2.132701422,0.011736566,"B4271, B1579, B0537, B4308, B3283, B1374, B0278, B1545, B0544",57,37,630,2.688477952,0.191445911,0.160290336,0.160290336
GOTERM_BP_DIRECT,"GO:0090502~RNA phosphodiester bond hydrolysis, endonucleolytic",6,1.421800948,0.012760734,"B3083, B3022, B2782, B4225, B1563, B0233",288,17,3277,4.015931373,0.983375367,0.370061297,0.364260963
INTERPRO,IPR009057:Homeodomain-like,14,3.317535545,0.013100966,"B4062, B3261, B0546, B1374, B0373, B0540, B0464, B3557, B1696, B1531, B0564, B1545, B0313, B1027",366,72,3956,2.101700061,0.999846668,1,1
INTERPRO,"IPR002104:Integrase, catalytic",5,1.184834123,0.013923373,"B0537, B0281, B1140, B4312, B1345",366,11,3956,4.913065077,0.999911996,1,1
INTERPRO,"IPR011010:DNA breaking-rejoining enzyme, catalytic core",5,1.184834123,0.013923373,"B0537, B0281, B1140, B4312, B1345",366,11,3956,4.913065077,0.999911996,1,1
INTERPRO,"IPR013762:Integrase-like, catalytic core",5,1.184834123,0.013923373,"B0537, B0281, B1140, B4312, B1345",366,11,3956,4.913065077,0.999911996,1,1
COG_ONTOLOGY,"Cell envelope biogenesis, outer membrane",9,2.132701422,0.018857687,"B3627, B3626, B0703, B3593, B3631, B3595, B3623, B0499, B0577",57,40,630,2.486842105,0.290134443,0.160290336,0.160290336
