Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
UP_KEYWORDS,Purine biosynthesis,6,7.792207792,9.52E-06,"B2508, B2476, B2500, B2499, B2312, B4006",77,17,4139,18.97173415,9.52E-04,9.52E-04,8.95E-04
KEGG_PATHWAY,eco01130:Biosynthesis of antibiotics,16,20.77922078,2.49E-05,"B3172, B0908, B0721, B3958, B2965, B2838, B2518, B1704, B2210, B0031, B2476, B2500, B2312, B2499, B2601, B4006",40,194,1564,3.224742268,9.20E-04,9.20E-04,8.46E-04
KEGG_PATHWAY,eco01110:Biosynthesis of secondary metabolites,19,24.67532468,6.46E-05,"B3172, B1493, B0908, B0721, B3517, B3958, B2965, B2508, B2838, B2518, B1704, B2210, B0031, B2476, B2500, B2312, B2499, B2601, B4006",40,292,1564,2.544178082,0.002387427,0.001091918,0.001003385
GOTERM_BP_DIRECT,GO:0006189~'de novo' IMP biosynthetic process,5,6.493506494,7.41E-05,"B2476, B2500, B2499, B2312, B4006",69,12,3277,19.78864734,0.008559439,0.008595963,0.008447757
KEGG_PATHWAY,eco01100:Metabolic pathways,30,38.96103896,8.85E-05,"B3172, B1493, B1768, B1702, B2838, B2518, B1704, B2210, B0031, B0032, B2476, B2499, B2675, B2312, B1842, B1062, B1281, B2153, B0908, B0721, B3517, B2965, B3958, B0945, B2508, B2066, B1970, B2500, B2601, B4006",40,685,1564,1.712408759,0.00327054,0.001091918,0.001003385
KEGG_PATHWAY,eco00230:Purine metabolism,10,12.98701299,1.80E-04,"B2508, B2518, B2476, B1970, B2500, B2499, B2312, B2675, B1842, B4006",40,87,1564,4.494252874,0.006640916,0.001665616,0.001530566
GOTERM_BP_DIRECT,GO:0044205~'de novo' UMP biosynthetic process,4,5.194805195,2.82E-04,"B1062, B0945, B1281, B0032",69,7,3277,27.13871636,0.032178757,0.016351632,0.016069708
UP_KEYWORDS,Decarboxylase,5,6.493506494,4.96E-04,"B3517, B2965, B2838, B1281, B1493",77,21,4139,12.79839208,0.048382785,0.024790058,0.023302654
KEGG_PATHWAY,eco00240:Pyrimidine metabolism,8,10.38961039,6.18E-04,"B1062, B0945, B2518, B1281, B2066, B0032, B2675, B1842",40,62,1564,5.04516129,0.022608525,0.00457219,0.004201472
UP_KEYWORDS,Pyrimidine biosynthesis,4,5.194805195,8.83E-04,"B1062, B0945, B1281, B0032",77,11,4139,19.54663518,0.084563554,0.028379762,0.026676976
