Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
UP_KEYWORDS,Stress response,17,14.28571429,1.09E-06,"B4050, B3083, B4484, B3022, B0382, B3021, B0424, B1305, B0435, B0303, B1304, B0437, B1967, B1306, B0438, B3728, B0607",117,139,4139,4.326569514,1.14E-04,1.14E-04,1.14E-04
GOTERM_MF_DIRECT,GO:0005543~phospholipid binding,4,3.361344538,1.31E-04,"B3192, B1304, B3194, B3193",78,5,3186,32.67692308,0.01432379,0.014426419,0.014426419
GOTERM_BP_DIRECT,"GO:0006355~regulation of transcription, DNA-templated",14,11.76470588,4.29E-04,"B1183, B0294, B3021, B0619, B1305, B0435, B0546, B0315, B1306, B2725, B0483, B0450, B2731, B1951",84,178,3277,3.06835206,0.057455543,0.055245914,0.054445249
GOTERM_BP_DIRECT,GO:0016036~cellular response to phosphate starvation,4,3.361344538,8.01E-04,"B4030, B3728, B0382, B0564",84,8,3277,19.50595238,0.10464598,0.055245914,0.054445249
GOTERM_MF_DIRECT,GO:0005548~phospholipid transporter activity,3,2.521008403,0.003352466,"B3194, B3193, B3195",78,4,3186,30.63461538,0.308844765,0.184385648,0.184385648
GOTERM_BP_DIRECT,GO:0009271~phage shock,3,2.521008403,0.003679555,"B1305, B1304, B4050",84,4,3277,29.25892857,0.398732346,0.10155572,0.100083898
GOTERM_BP_DIRECT,GO:0071229~cellular response to acid chemical,3,2.521008403,0.003679555,"B1164, B1166, B3404",84,4,3277,29.25892857,0.398732346,0.10155572,0.100083898
GOTERM_BP_DIRECT,GO:0015914~phospholipid transport,3,2.521008403,0.003679555,"B3192, B3194, B3195",84,4,3277,29.25892857,0.398732346,0.10155572,0.100083898
GOTERM_CC_DIRECT,GO:0045284~plasma membrane fumarate reductase complex,3,2.521008403,0.00392395,"B4151, B4152, B4153",78,4,2941,28.27884615,0.082861442,0.086326904,0.086326904
KEGG_PATHWAY,eco02020:Two-component system,9,7.56302521,0.007186806,"B4151, B3405, B3728, B4152, B4153, B0619, B0564, B3404, B1951",33,146,1564,2.921544209,0.188742607,0.208417362,0.208417362
GOTERM_MF_DIRECT,GO:0008177~succinate dehydrogenase (ubiquinone) activity,3,2.521008403,0.00812115,"B4151, B4152, B4153",78,6,3186,20.42307692,0.592198055,0.297775491,0.297775491
COG_ONTOLOGY,Transcription / Signal transduction mechanisms,3,2.521008403,0.009046573,"B1304, B1183, B2731",15,7,630,18,0.086870361,0.081419156,0.081419156
GOTERM_MF_DIRECT,GO:0000104~succinate dehydrogenase activity,3,2.521008403,0.011192333,"B4151, B4152, B4153",78,7,3186,17.50549451,0.710064919,0.307789159,0.307789159
UP_SEQ_FEATURE,signal peptide,24,20.16806723,0.012023985,"B3192, B4050, B2390, B3193, B4484, B4055, B1283, B2809, B0545, B0303, B0622, B2833, B0843, B0559, B0604, B3728, B1431, B0463, B0453, B3238, B3404, B0498, B3544, B0753",117,508,4147,1.674540682,0.901981272,1,1
