Time,Well 101,Well 102,Well 103,Well 104,Well 105,Well 106,Well 107,Well 108,Well 109,Well 110,Well 111,Well 120,Well 121,Well 130,Well 131,Well 140,Well 141,Well 150,Well 151,Well 160,Well 161,Well 170,Well 171,Well 180,Well 181,Well 190,Well 191,Well 192,Well 193,Well 194,Well 195,Well 196,Well 197,Well 198,Well 199,Well 200,Well 201,Well 202,Well 203,Well 204,Well 205,Well 206,Well 207,Well 208,Well 209,Well 210,Well 211,Well 220,Well 221,Well 230,Well 231,Well 240,Well 241,Well 250,Well 251,Well 260,Well 261,Well 270,Well 271,Well 280,Well 281,Well 286,Well 287,Well 288,Well 289,Well 290
0:00:05,0.072,0.08,0.081,0.081,0.082,0.079,0.08,0.078,0.085,0.078,0.083,0.078,0.081,0.09,0.083,0.086,0.081,0.091,0.085,0.089,0.082,0.09,0.084,0.087,0.083,0.09,0.075,0.079,0.081,0.08,0.08,0.082,0.083,0.085,0.085,0.08,0.075,0.083,0.084,0.085,0.086,0.084,0.084,0.085,0.087,0.094,0.091,0.089,0.086,0.092,0.089,0.087,0.09,0.096,0.092,0.099,0.091,0.093,0.088,0.09,0.089,0.093,0.093,0.093,0.091,0.091
0:14:33,0.069,0.064,0.067,0.068,0.061,0.062,0.064,0.066,0.066,0.066,0.051,0.064,0.049,0.051,0.053,0.052,0.053,0.06,0.067,0.06,0.066,0.063,0.064,0.063,0.063,0.064,0.06,0.059,0.061,0.063,0.064,0.065,0.065,0.066,0.064,0.064,0.062,0.061,0.059,0.054,0.055,0.055,0.056,0.056,0.057,0.059,0.059,0.057,0.06,0.063,0.056,0.06,0.055,0.059,0.053,0.06,0.053,0.055,0.053,0.054,0.055,0.055,0.055,0.054,0.054,0.054
0:44:32,0.066,0.065,0.066,0.065,0.066,0.065,0.064,0.065,0.065,0.066,0.066,0.065,0.067,0.066,0.065,0.065,0.065,0.066,0.066,0.067,0.067,0.068,0.067,0.067,0.067,0.066,0.067,0.067,0.068,0.068,0.068,0.068,0.068,0.069,0.067,0.067,0.069,0.067,0.068,0.068,0.068,0.068,0.068,0.069,0.069,0.07,0.068,0.069,0.068,0.07,0.068,0.069,0.067,0.069,0.07,0.07,0.07,0.07,0.069,0.071,0.071,0.07,0.07,0.07,0.069,0.069
1:14:27,0.066,0.065,0.066,0.066,0.066,0.065,0.065,0.065,0.066,0.066,0.065,0.064,0.066,0.065,0.064,0.064,0.065,0.066,0.064,0.067,0.064,0.065,0.063,0.065,0.063,0.063,0.063,0.063,0.063,0.064,0.064,0.064,0.064,0.065,0.063,0.063,0.066,0.064,0.063,0.063,0.064,0.063,0.064,0.065,0.065,0.066,0.063,0.064,0.064,0.066,0.064,0.064,0.063,0.064,0.063,0.064,0.064,0.065,0.064,0.065,0.065,0.065,0.065,0.065,0.065,0.064
1:44:26,0.066,0.066,0.066,0.065,0.066,0.064,0.064,0.064,0.065,0.066,0.064,0.064,0.065,0.065,0.063,0.064,0.063,0.064,0.063,0.064,0.064,0.064,0.063,0.064,0.063,0.062,0.063,0.063,0.064,0.064,0.064,0.064,0.064,0.065,0.063,0.063,0.066,0.064,0.064,0.064,0.064,0.063,0.064,0.065,0.065,0.065,0.064,0.064,0.064,0.065,0.063,0.064,0.064,0.064,0.064,0.065,0.064,0.064,0.064,0.065,0.066,0.065,0.065,0.065,0.065,0.065
2:14:25,0.066,0.065,0.065,0.065,0.066,0.065,0.063,0.065,0.066,0.067,0.065,0.065,0.065,0.064,0.064,0.064,0.064,0.064,0.065,0.065,0.065,0.064,0.063,0.064,0.063,0.062,0.063,0.063,0.064,0.064,0.064,0.064,0.065,0.065,0.063,0.064,0.067,0.064,0.063,0.064,0.063,0.064,0.064,0.065,0.065,0.066,0.063,0.064,0.064,0.064,0.062,0.063,0.063,0.063,0.063,0.064,0.064,0.064,0.063,0.064,0.065,0.065,0.065,0.066,0.066,0.066
2:44:25,0.066,0.065,0.066,0.066,0.066,0.065,0.064,0.064,0.065,0.065,0.064,0.064,0.065,0.065,0.064,0.064,0.064,0.065,0.064,0.066,0.064,0.065,0.064,0.064,0.064,0.064,0.065,0.064,0.065,0.066,0.065,0.065,0.065,0.066,0.064,0.064,0.067,0.065,0.065,0.065,0.065,0.065,0.065,0.066,0.066,0.066,0.065,0.065,0.065,0.067,0.066,0.066,0.065,0.066,0.065,0.067,0.066,0.067,0.066,0.067,0.067,0.067,0.066,0.067,0.066,0.066
3:14:25,0.066,0.066,0.066,0.066,0.066,0.065,0.064,0.065,0.066,0.066,0.065,0.065,0.066,0.066,0.065,0.065,0.065,0.066,0.066,0.067,0.066,0.067,0.065,0.066,0.066,0.065,0.066,0.066,0.066,0.067,0.066,0.067,0.067,0.067,0.065,0.066,0.068,0.066,0.066,0.066,0.066,0.066,0.066,0.068,0.067,0.067,0.066,0.067,0.067,0.068,0.066,0.067,0.066,0.067,0.067,0.068,0.067,0.068,0.067,0.068,0.068,0.068,0.068,0.068,0.068,0.067
3:44:25,0.067,0.066,0.066,0.066,0.067,0.065,0.065,0.065,0.066,0.066,0.065,0.065,0.065,0.065,0.064,0.065,0.064,0.065,0.065,0.066,0.065,0.065,0.064,0.065,0.065,0.064,0.065,0.064,0.065,0.065,0.065,0.066,0.066,0.066,0.064,0.065,0.068,0.065,0.065,0.065,0.066,0.065,0.065,0.067,0.067,0.067,0.065,0.065,0.066,0.067,0.065,0.066,0.066,0.066,0.065,0.067,0.066,0.067,0.065,0.067,0.067,0.066,0.066,0.066,0.066,0.066
4:14:24,0.066,0.066,0.067,0.066,0.067,0.065,0.065,0.065,0.066,0.066,0.065,0.065,0.066,0.066,0.066,0.065,0.065,0.066,0.066,0.067,0.066,0.067,0.066,0.066,0.066,0.065,0.066,0.065,0.067,0.067,0.066,0.067,0.067,0.067,0.066,0.066,0.069,0.067,0.066,0.066,0.067,0.066,0.066,0.068,0.068,0.069,0.066,0.068,0.067,0.068,0.066,0.067,0.067,0.067,0.066,0.068,0.067,0.068,0.067,0.068,0.069,0.068,0.068,0.068,0.068,0.067
