Time,WT0_1,WT0_2,WT0_3,WT0_4,WTarcA0_1,WTarcA0_2,WTarcA0_3,WTarcA0_4,TetR0_1,TetR0_2,TetR0_3,TetR0_4,TetRarcA0_1,TetRarcA0_2,TetRarcA0_3,TetRarcA0_4,pRB3-arcA0_1,pRB3-arcA0_2,pRB3-arcA0_3,pRB3-arcA0_4,TetR4_1,TetR4_2,TetR4_3,TetR4_4,TetRarcA4_1,TetRarcA4_2,TetRarcA4_3,TetRarcA4_4,pRB3-arcA4_1,pRB3-arcA4_2,pRB3-arcA4_3,pRB3-arcA4_4,TetR12_1,TetR12_2,TetR12_3,TetR12_4,TetRarcA12_1,TetRarcA12_2,TetRarcA12_3,TetRarcA12_4,pRB3-arcA12_1,pRB3-arcA12_2,pRB3-arcA12_3,pRB3-arcA12_4,TetR16_1,TetR16_2,TetR16_3,TetR16_4,TetRarcA16_1,TetRarcA16_2,TetRarcA16_3,TetRarcA16_4,pRB3-arcA16_1,pRB3-arcA16_2,pRB3-arcA16_3,pRB3-arcA16_4,TetR20_1,TetR20_2,TetR20_3,TetR20_4,TetRarcA20_1,TetRarcA20_2,TetRarcA20_3,TetRarcA20_4,pRB3-arcA20_1,pRB3-arcA20_2,pRB3-arcA20_3,pRB3-arcA20_4
0:00:05,0.098,0.1,0.097,0.098,0.097,0.099,0.099,0.101,0.101,0.102,0.101,0.104,0.101,0.104,0.103,0.106,0.101,0.101,0.102,0.104,0.102,0.103,0.104,0.106,0.099,0.1,0.101,0.101,0.103,0.102,0.103,0.105,0.1,0.1,0.101,0.103,0.104,0.104,0.104,0.107,0.105,0.106,0.106,0.108,0.106,0.107,0.107,0.111,0.102,0.101,0.1,0.1,0.104,0.104,0.105,0.106,0.1,0.102,0.104,0.103,0.103,0.105,0.105,0.104,0.101,0.104,0.104,0.11
0:14:33,0.065,0.066,0.066,0.067,0.067,0.068,0.075,0.079,0.072,0.074,0.073,0.073,0.072,0.075,0.075,0.076,0.078,0.078,0.077,0.077,0.074,0.074,0.076,0.079,0.068,0.069,0.071,0.069,0.073,0.076,0.075,0.077,0.069,0.072,0.072,0.071,0.072,0.073,0.072,0.074,0.068,0.068,0.068,0.071,0.068,0.068,0.069,0.073,0.068,0.068,0.069,0.071,0.072,0.069,0.071,0.072,0.067,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.069,0.071,0.072,0.074
0:44:32,0.081,0.082,0.081,0.081,0.08,0.082,0.082,0.081,0.084,0.084,0.084,0.087,0.084,0.085,0.086,0.087,0.087,0.088,0.088,0.089,0.085,0.086,0.086,0.087,0.083,0.083,0.084,0.084,0.086,0.087,0.087,0.087,0.083,0.084,0.084,0.084,0.084,0.084,0.085,0.086,0.086,0.087,0.087,0.086,0.084,0.084,0.084,0.084,0.086,0.086,0.086,0.087,0.089,0.088,0.088,0.088,0.084,0.085,0.085,0.084,0.085,0.084,0.084,0.085,0.087,0.089,0.089,0.09
1:14:27,0.082,0.083,0.082,0.083,0.082,0.083,0.083,0.083,0.083,0.084,0.084,0.086,0.083,0.084,0.084,0.085,0.086,0.087,0.087,0.088,0.084,0.083,0.085,0.087,0.081,0.081,0.082,0.083,0.085,0.087,0.085,0.086,0.081,0.082,0.082,0.082,0.082,0.082,0.081,0.083,0.082,0.083,0.083,0.082,0.08,0.08,0.08,0.081,0.08,0.081,0.081,0.082,0.084,0.083,0.084,0.085,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.083,0.085,0.085,0.087
1:44:26,0.088,0.09,0.088,0.089,0.085,0.087,0.086,0.087,0.089,0.09,0.09,0.092,0.085,0.087,0.087,0.088,0.09,0.091,0.091,0.091,0.086,0.086,0.087,0.088,0.082,0.083,0.084,0.084,0.086,0.088,0.087,0.088,0.082,0.082,0.084,0.083,0.082,0.083,0.082,0.084,0.084,0.085,0.085,0.085,0.081,0.081,0.081,0.082,0.082,0.082,0.082,0.083,0.085,0.085,0.085,0.085,0.081,0.081,0.081,0.081,0.08,0.081,0.081,0.081,0.083,0.085,0.085,0.087
2:14:25,0.105,0.107,0.106,0.107,0.09,0.092,0.093,0.092,0.1,0.101,0.101,0.104,0.09,0.092,0.092,0.093,0.094,0.096,0.096,0.097,0.09,0.09,0.092,0.093,0.084,0.083,0.083,0.082,0.084,0.089,0.088,0.09,0.082,0.083,0.084,0.084,0.082,0.082,0.083,0.084,0.085,0.085,0.085,0.085,0.081,0.081,0.081,0.082,0.082,0.083,0.083,0.085,0.087,0.086,0.087,0.087,0.081,0.082,0.082,0.081,0.081,0.081,0.081,0.082,0.084,0.085,0.086,0.088
2:44:25,0.144,0.147,0.145,0.147,0.098,0.101,0.102,0.1,0.124,0.126,0.126,0.128,0.099,0.1,0.101,0.101,0.104,0.106,0.106,0.107,0.097,0.098,0.099,0.1,0.092,0.093,0.095,0.094,0.095,0.098,0.096,0.097,0.087,0.088,0.089,0.089,0.087,0.088,0.087,0.089,0.089,0.09,0.09,0.09,0.085,0.086,0.086,0.086,0.085,0.086,0.086,0.088,0.09,0.089,0.09,0.09,0.084,0.085,0.085,0.084,0.084,0.085,0.086,0.085,0.087,0.089,0.088,0.091
3:14:25,0.235,0.242,0.238,0.24,0.112,0.115,0.115,0.115,0.169,0.172,0.172,0.174,0.11,0.113,0.113,0.114,0.117,0.119,0.119,0.12,0.106,0.107,0.108,0.11,0.099,0.1,0.102,0.101,0.102,0.104,0.103,0.105,0.09,0.091,0.093,0.092,0.09,0.091,0.091,0.093,0.092,0.093,0.094,0.094,0.088,0.088,0.088,0.089,0.088,0.089,0.09,0.091,0.093,0.093,0.093,0.094,0.086,0.087,0.087,0.087,0.086,0.087,0.087,0.087,0.09,0.092,0.093,0.094
3:44:25,0.373,0.388,0.378,0.383,0.132,0.138,0.138,0.137,0.243,0.249,0.248,0.25,0.125,0.128,0.128,0.13,0.133,0.136,0.136,0.137,0.115,0.117,0.118,0.121,0.106,0.108,0.11,0.109,0.108,0.11,0.11,0.111,0.092,0.093,0.094,0.095,0.092,0.093,0.093,0.095,0.094,0.096,0.096,0.095,0.088,0.089,0.089,0.09,0.088,0.089,0.09,0.092,0.095,0.093,0.094,0.095,0.085,0.087,0.087,0.087,0.086,0.087,0.087,0.088,0.09,0.092,0.091,0.094
4:14:24,0.528,0.54,0.527,0.531,0.16,0.168,0.169,0.167,0.35,0.359,0.356,0.359,0.147,0.152,0.153,0.155,0.16,0.163,0.163,0.164,0.127,0.131,0.132,0.135,0.118,0.121,0.122,0.122,0.118,0.12,0.12,0.123,0.096,0.097,0.098,0.098,0.095,0.096,0.096,0.099,0.098,0.099,0.099,0.1,0.091,0.092,0.092,0.093,0.091,0.092,0.093,0.094,0.097,0.097,0.098,0.098,0.088,0.089,0.089,0.09,0.088,0.09,0.089,0.09,0.093,0.096,0.095,0.098
