Locus,Gene
b0720,gltA
b0118,acnB
b1276,acnA
b1136,icd
b0726,sucA
b0727,sucB
b0116,lpd
b0729,sucD
b0728,sucC
b0721,sdhC
b0722,sdhD
b0723,sdhA
b0724,sdhB
b2929,fumE
b1675,fumD
b1612,fumA
b4122,fumB
b1611,fumC
b3236,mdh
b2210,mqo
b1479,maeA
b2276,nuoN
b2277,nuoM
b2278,nuoL
b2279,nuoK
b2280,nuoJ
b2281,nuoI
b2282,nuoH
b2283,nuoG
b2284,nuoF
b2285,nuoE
b2286,nuoC
b2287,nuoB
b2288,nuoA
b1109,ndh
b0432,cyoA
b0431,cyoB
b0430,cyoC
b0429,cyoD
b0428,cyoE
b0733,cydA
b0734,cydB
b0978,appC
b0979,appB
b3734,atpA
b3738,atpB
