Corem,Genes
512157,b0002;b0003;b0004;b0032;b0033;b0071;b0072;b0073;b0074;b0077;b0078;b0126;b0166;b0197;b0198;b0199;b0273;b0336;b0337;b0674;b0754;b0860;b0888;b0907;b0908;b0928;b0945;b1062;b1260;b1261;b1262;b1263;b1264;b1324;b1538;b1740;b1761;b1852;b2019;b2020;b2021;b2022;b2023;b2024;b2025;b2026;b2153;b2497;b2498;b2599;b2818;b2913;b2924;b2942;b3008;b3172;b3212;b3213;b3359;b3433;b3454;b3455;b3456;b3457;b3458;b3460;b3553;b3770;b3771;b3772;b3774;b3829;b3868;b3869;b3870;b3938;b3939;b3940;b3941;b3956;b3957;b3958;b3959;b3960;b4013;b4024;b4243;b4244;b4245;b4246;b4254;b4129;b4207
512171,b0014;b0015;b0437;b0438;b0439;b0473;b0492;b0631;b0658;b0659;b0660;b1321;b1322;b1380;b2592;b2614;b3067;b3178;b3179;b3399;b3400;b3401;b3498;b3686;b3687;b3931;b3932;b4142;b4143;b4171;b4172
512184,b0021;b0022;b0264;b0265;b0274;b0275;b0988;b1893;b1894;b3444;b3445;b4294
512191,b0025;b0026;b0027;b0028;b0082;b0083;b0084;b0085;b0086;b0087;b0088;b0089;b0090;b0091;b0092;b0093;b0094;b0095;b0924;b1116;b1117;b1118
512192,b0025;b0026;b0027;b0028;b0090;b0924;b0029;b2231;b2819;b3232;b3368;b3464;b3590;b3591;b3613;b3699;b3813;b3863;b3865;b4052;b4053;b4160;b4161;b4162;b4233;b4388;b2411;b4389
512214,b0035;b0036;b0038;b0039;b0041;b0042;b0044
512216,b0038;b0039;b0041;b0042;b0044
512274,b0026;b0027;b0028;b0051;b0052;b0053;b0085;b0086;b0087;b0088;b0089;b0090;b0091;b0092;b0093;b0094;b0639;b0640;b0641;b0050;b1118;b0924;b1117;b0083;b0084;b0095;b1116
512277,b0050;b0051;b0052;b0053;b0639;b0640;b0641
512477,b0071;b0072;b0073;b0074;b0077;b0112;b0754;b0907;b0908;b1260;b1261;b1262;b1263;b1264;b1704;b2599;b2600;b2601;b2913;b3008;b3454;b3455;b3456;b3457;b3458;b3460;b3774;b4013;b4024
512482,b0113;b0114;b0115;b0116;b0311;b0312;b0313;b0429;b0430;b0431;b2518;b2587;b1109
512483,b0114;b0115;b0116;b0118;b0124;b0240;b0311;b0312;b0313;b0221;b0346;b0428;b0429;b0430;b0431;b0432;b0458;b0553;b0598;b0651;b0655;b0679;b0720;b0721;b0722;b0723;b0724;b0726;b0727;b0728;b0729;b0757;b0758;b0759;b0809;b0810;b0811;b0821;b1015;b1020;b1136;b1189;b1190;b1296;b1297;b1298;b1299;b1300;b1301;b1332;b1398;b1415;b1422;b1483;b1484;b1485;b1486;b1487;b1488;b1594;b1611;b1612;b1744;b1745;b1746;b1747;b1748;b1777;b1778;b1853;b1976;b2091;b2092;b2093;b2094;b2095;b2096;b2126;b2148;b2149;b2150;b2151;b2181;b2276;b2277;b2278;b2279;b2280;b2281;b2282;b2283;b2284;b2285;b2286;b2287;b2288;b2310;b2341;b2342;b2426;b2463;b2518;b2537;b2582;b2587;b2805;b2844;b2964;b2980;b3236;b3403;b3416;b3417;b3418;b3426;b3450;b3451;b3452;b3453;b3528;b3599;b3603;b3604;b3605;b3707;b3708;b3748;b3749;b3750;b3751;b3752;b3820;b3832;b3845;b3846;b3926;b3927;b3962;b4032;b4033;b4034;b4035;b4036;b4037;b4067;b4068;b4069;b4139;b4208;b4216;b4239;b4240;b4357
512504,b0114;b0115;b0116;b0126;b0240;b0311;b0312;b0313;b0428;b0429;b0430;b0431;b0432;b0655;b0809;b0810;b0811;b0888;b0928;b1136;b1324;b2153;b2518;b3553;b4207;b2587;b3236
512561,b0038;b0039;b0041;b0042;b0044;b0135;b0136;b0137;b0138;b0141;b0719;b0938;b0939;b0942;b0944
512564,b0135;b0136;b0137;b0138;b0141;b0719;b0938;b0939;b0942;b0944
512648,b0151;b0150;b0152;b0153;b0468;b0583;b0584;b0585;b0586;b0588;b0589;b0590;b0591;b0592;b0593;b0594;b0595;b0596;b0597;b0804;b0805;b1018;b1019;b1102;b1252;b1452;b1494;b1495;b1705;b2155;b2211;b2392;b2673;b2674;b2675;b2676;b3005;b3006;b3070;b3337;b4287;b4288;b4289;b4290;b4291;b4292;b4293;b4367
512721,b0008;b0126;b0166;b0674;b0754;b0888;b0928;b1272;b1324;b1740;b1852;b2924;b3553;b3956;b4207;b1538;b2153
512762,b0025;b0026;b0027;b0028;b0084;b0085;b0086;b0087;b0088;b0089;b0090;b0091;b0092;b0093;b0094;b0095;b0176;b0174;b0179;b0177
512763,b0052;b0053;b0176;b0177;b0179;b0639;b0640;b0641
512767,b0174;b0176;b0177;b0179
512769,b0008;b0178;b0237;b0605;b0814;b0957;b1272;b0440;b1176;b1779;b2215;b2551;b2687;b2926;b3357;b4000;b1677;b2007;b2293;b2779;b2925;b3916;b3919
512774,b0002;b0004;b0077;b0078;b0126;b0166;b0178;b0197;b0237;b0426;b0440;b0605;b0754;b0814;b0888;b0907;b0908;b0928;b0957;b1174;b1175;b1176;b1324;b1538;b1539;b1676;b1740;b1761;b1779;b1852;b2007;b2153;b2215;b2293;b2294;b2415;b2416;b2417;b2551;b2687;b2779;b2913;b2924;b2925;b2926;b3008;b3212;b3357;b3433;b3553;b3916;b3919;b3956;b4000;b4024;b4025;b4129;b4207;b1677
513023,b0021;b0022;b0224;b0264;b0265;b0274;b0275;b0988;b1893;b1894;b3444;b3445;b3782;b4294
513117,b0023;b0238;b0436;b1203;b1281;b1282;b1344;b2171;b0884;b2185;b3065;b3175;b3261;b4147
513264,b0139;b0254;b0940
513454,b0235;b0282;b0283;b0285
513456,b0283;b0284;b0285
513604,b0298;b0299;b0372;b0373;b0540;b0541;b1026;b1027;b2088;b2089
513737,b0117;b0317;b0318;b0319;b0320;b0321;b0323;b0358;b0504;b0505;b0614;b0615;b0617;b0823;b1526
513740,b0117;b0235;b0282;b0317;b0318;b0319;b0320;b0321;b0323;b0358;b0504;b0823;b1526
513744,b0271;b0317;b0319;b0323;b0349;b0358;b0823;b0348;b0351;b0352
513745,b0117;b0283;b0284;b0285;b0317;b0318;b0319;b0320;b0321;b0323;b0358;b0504;b0505;b0823;b1526
513765,b0223;b0324;b0689;b2043;b2045;b2130;b2144;b2145;b2522;b2812;b2958;b2971;b2972;b3071;b3244;b3698;b3937;b4180;b4324
513877,b0139;b0254;b0338;b0339;b0341;b0940
513894,b0338;b0339;b0341
513985,b0271;b0348;b0349;b0350;b0351;b0352
514058,b0298;b0360;b0361;b0372;b0373;b0540;b0541;b1026;b1402;b1403;b1578;b1996;b1997;b2089;b4272;b2860;b2861;b3044;b3045;b2088
514060,b0360;b0361;b1402;b1403;b1578;b1996;b1997;b2860;b2861;b3044;b3045;b4272
514169,b0135;b0136;b0137;b0138;b0141;b0719;b0370;b1160;b1161;b1549;b2846;b1470;b2848;b2849;b2850;b2851;b2857
514552,b0238;b0405;b0423;b0636;b0835;b0914;b1124;b1125;b1126;b1203;b1281;b1282;b1344;b2014;b1807;b4049;b3016;b1822
514557,b0174;b0176;b0177;b0406;b0407;b0408
514563,b0406;b0407;b0408
