Locus tag,Score1,Score2,Max Score,Differential activity,Response
b0080,4.259406958,0.068581526,4.259406958,Increased,Adaptive
b0413,0,1.991659927,1.991659927,Decreased,Adaptive
b0846,1.587356117,0.052661338,1.587356117,Increased,Adaptive
b0889,1.796185686,0.167034542,1.796185686,Increased,Both
b0995,0,4.414045804,4.414045804,Decreased,Basal
b1130,0.149271794,3.240973334,3.240973334,Decreased,Basal
b1237,0.550025512,1.290773711,1.290773711,Decreased,Basal
b1303,2.658354063,0,2.658354063,Increased,Both
b1531,10.47043851,0,10.47043851,Increased,Basal
b1594,3.973134285,0,3.973134285,Increased,Adaptive
b1658,2.163660685,0,2.163660685,Increased,Basal
b1921,6.118926894,0,6.118926894,Increased,Basal
b2217,0.586524464,2.809292437,2.809292437,Decreased,Basal
b2741,2.40E-09,1.687423857,1.687423857,Decreased,Adaptive
b2980,2.713672408,0,2.713672408,Increased,Basal
b3405,1.427964157,0.009235529,1.427964157,Increased,Both
b3418,0,3.421718003,3.421718003,Decreased,Adaptive
b3512,0,2.022939996,2.022939996,Decreased,Both
b3934,1.575557921,0,1.575557921,Increased,Adaptive
b3973,0,1.483496606,1.483496606,Decreased,Adaptive
b4062,3.120732398,0,3.120732398,Increased,Basal
b4116,0,1.85639647,1.85639647,Decreased,Both
b4396,5.372420666,0,5.372420666,Increased,Basal
b4401,5.380996696,1.99E-09,5.380996696,Increased,Adaptive
b4498,5.764699414,0,5.764699414,Increased,Adaptive
