Spot,Time,Growth_normalized
PRB16_0,0,0
PRB16_0,46,0
PRB16_0,92,0
PRB16_0,138,0
PRB16_0,184,0
PRB16_0,230,0
PRB16_0,276,0
PRB16_0,322,0
PRB16_0,368,11
PRB16_0,414,0
PRB16_0,460,0
PRB16_0,506,0
PRB16_0,552,2
PRB16_0,598,29
PRB16_0,644,79
PRB16_0,690,110
PRB16_0,736,139
PRB16_0,782,276
PRB16_0,828,282
PRB16_0,874,454
PRB16_0,920,506
PRB16_0,967,614
PRB16_0,1013,723
PRB16_0,1059,791
PRB16_0,1105,862
PRB16_0,1151,936
PRB16_0,1197,1069
PRB16_0,1243,1238
PRB16_0,1289,1431
PRB16_0,1335,1597
PRB16_0,1381,1849
PRB16_0,1427,2065
PRB16_0,1473,2270
PRB16_0,1519,2478
PRB16_0,1565,2739
PRB16_0,1611,3044
PRB16_0,1657,3321
PRB16_0,1703,3471
PRB16_0,1749,3768
PRB16_0,1795,4007
PRB16_0,1841,4262
PRB16_0,1888,4520
PRB16_0,1934,4724
PRB16_0,1980,5073
PRB16_0,2026,5299
PRB16_0,2072,5612
PRB16_0,2118,5769
PRB16_0,2164,6014
PRB16_0,2210,6204
PRB16_0,2256,6528
PRB16_0,2302,6709
PRB16_0,2348,7023
PRB16_0,2394,7283
PRB16_0,2440,7631
PRB16_0,2486,7853
PRB16_0,2532,8219
PRB16_0,2578,8486
PRB16_0,2624,8813
PRB16_0,2670,9126
PRB16_0,2716,9380
PRB16_0,2762,9650
PRB16_1,0,0
PRB16_1,46,0
PRB16_1,92,0
PRB16_1,138,0
PRB16_1,184,0
PRB16_1,230,0
PRB16_1,276,0
PRB16_1,322,0
PRB16_1,368,0
PRB16_1,414,0
PRB16_1,460,0
PRB16_1,506,0
PRB16_1,552,13
PRB16_1,598,68
PRB16_1,644,112
PRB16_1,690,156
PRB16_1,736,205
PRB16_1,782,260
PRB16_1,828,283
PRB16_1,874,387
PRB16_1,920,434
PRB16_1,967,493
PRB16_1,1013,615
PRB16_1,1059,728
PRB16_1,1105,868
