,Cell_type,Time,Spot,Spot_loc,Growth,Growth_normalized
WT_0_834,WT,834.0,WT_0,22_19_29,119756.0,0.0
WT_1_834,WT,834.0,WT_1,51_267_17,47983.0,12167.0
WT_2_834,WT,834.0,WT_2,85_257_15,37549.0,9369.0
WT_3_834,WT,834.0,WT_3,170_688_13,29463.0,7870.0
WT_4_834,WT,834.0,WT_4,181_593_16,39095.0,11197.0
WT_5_834,WT,834.0,WT_5,214_199_15,34459.0,8976.0
WT_6_834,WT,834.0,WT_6,425_894_15,38425.0,10275.0
WT_7_834,WT,834.0,WT_7,523_677_14,27337.0,8023.0
WT_8_834,WT,834.0,WT_8,529_746_13,26655.0,6820.0
WT_9_834,WT,834.0,WT_9,532_717_13,24859.0,7554.0
WT_10_834,WT,834.0,WT_10,552_899_14,35152.0,9157.0
WT_11_834,WT,834.0,WT_11,570_1002_16,44715.0,10653.0
WT_12_834,WT,834.0,WT_12,570_1056_14,32148.0,8354.0
WT_13_834,WT,834.0,WT_13,605_1059_12,22800.0,5601.0
WT_14_834,WT,834.0,WT_14,618_726_24,81638.0,19248.0
WT_15_834,WT,834.0,WT_15,617_823_20,59057.0,11343.0
WT_16_834,WT,834.0,WT_16,622_888_14,28713.0,6518.0
WT_17_834,WT,834.0,WT_17,628_1092_18,39186.0,10570.0
WT_18_834,WT,834.0,WT_18,662_904_11,21490.0,5023.0
WT_19_834,WT,834.0,WT_19,672_783_11,21099.0,4849.0
WT_20_834,WT,834.0,WT_20,692_931_13,27416.0,6835.0
WT_21_834,WT,834.0,WT_21,694_958_11,24783.0,6155.0
WT_22_834,WT,834.0,WT_22,716_1036_16,39838.0,10485.0
WT_23_834,WT,834.0,WT_23,765_1032_9,14833.0,3866.0
WT_24_834,WT,834.0,WT_24,778_1049_11,22100.0,5777.0
WT_25_834,WT,834.0,WT_25,840_822_14,37265.0,9757.0
WT_26_834,WT,834.0,WT_26,843_785_13,28014.0,7451.0
WT_27_834,WT,834.0,WT_27,857_651_14,34805.0,9453.0
WT_28_834,WT,834.0,WT_28,881_574_14,34395.0,9060.0
WT_29_834,WT,834.0,WT_29,902_885_23,71518.0,16216.0
WT_30_834,WT,834.0,WT_30,942_172_16,42912.0,11508.0
WT_31_834,WT,834.0,WT_31,958_421_15,40063.0,10963.0
WT_32_834,WT,834.0,WT_32,1008_926_14,33945.0,10012.0
WT_33_834,WT,834.0,WT_33,1021_1091_11,18860.0,494.0
WT_0_2871,WT,2871.0,WT_0,22_19_29,123056.0,2331.0
WT_1_2871,WT,2871.0,WT_1,51_267_17,53360.0,17544.0
WT_2_2871,WT,2871.0,WT_2,85_257_15,41955.0,13775.0
WT_3_2871,WT,2871.0,WT_3,170_688_13,33176.0,11583.0
WT_4_2871,WT,2871.0,WT_4,181_593_16,43346.0,15448.0
WT_5_2871,WT,2871.0,WT_5,214_199_15,38843.0,13360.0
WT_6_2871,WT,2871.0,WT_6,425_894_15,43175.0,15025.0
WT_7_2871,WT,2871.0,WT_7,523_677_14,29592.0,10278.0
