Spot,Time,Growth,Growth_normalized
TetR_0,0,254130,0
TetR_0,30,250614,0
TetR_0,61,249192,0
TetR_0,92,248838,0
TetR_0,123,249024,0
TetR_0,154,248351,0
TetR_0,185,248238,0
TetR_0,216,248113,0
TetR_0,247,247956,0
TetR_0,278,247754,0
TetR_0,309,247857,0
TetR_0,340,247964,0
TetR_0,371,247925,0
TetR_0,402,247983,0
TetR_0,432,247837,0
TetR_0,463,248215,0
TetR_0,494,248189,0
TetR_0,525,248361,0
TetR_0,556,248403,0
TetR_0,587,249172,0
TetR_0,618,250050,0
TetR_0,649,251208,0
TetR_0,679,252870,0
TetR_0,710,254414,284
TetR_0,741,256323,2193
TetR_0,772,257825,3695
TetR_0,803,260314,6184
TetR_0,834,262601,8471
TetR_0,865,265014,10884
TetR_0,896,266491,12361
TetR_0,926,269141,15011
TetR_0,957,271447,17317
TetR_0,988,274905,20775
TetR_0,1019,276786,22656
TetR_0,1050,279749,25619
TetR_0,1081,281981,27851
TetR_0,1112,284031,29901
TetR_0,1142,286505,32375
TetR_0,1173,288438,34308
TetR_0,1204,291115,36985
TetR_0,1235,292640,38510
TetR_0,1266,294515,40385
TetR_0,1297,296714,42584
TetR_0,1328,298269,44139
TetR_0,1359,299929,45799
TetR_0,1389,301440,47310
TetR_0,1420,303033,48903
TetR_0,1451,304474,50344
TetR_0,1482,305985,51855
TetR_0,1513,307132,53002
TetR_0,1544,307793,53663
TetR_0,1575,308846,54716
TetR_0,1606,309638,55508
TetR_0,1636,310767,56637
TetR_0,1667,311347,57217
TetR_0,1698,312218,58088
TetR_0,1729,313020,58890
TetR_0,1760,313741,59611
TetR_0,1791,314614,60484
TetR_0,1822,315509,61379
TetR_0,1852,316198,62068
TetR_0,1883,316827,62697
TetR_0,1914,317750,63620
TetR_0,1945,318366,64236
TetR_0,1976,318898,64768
TetR_0,2007,319501,65371
TetR_0,2038,320282,66152
TetR_0,2069,320647,66517
TetR_0,2099,321313,67183
TetR_0,2130,321848,67718
TetR_0,2161,322131,68001
TetR_0,2192,322621,68491
TetR_0,2223,323025,68895
TetR_0,2254,323529,69399
TetR_0,2285,324033,69903
TetR_0,2316,324134,70004
TetR_0,2346,324715,70585
TetR_0,2377,324786,70656
TetR_0,2408,324829,70699
TetR_0,2439,325287,71157
TetR_0,2470,325521,71391
TetR_0,2501,325741,71611
TetR_0,2532,326008,71878
TetR_0,2562,326312,72182
TetR_0,2593,326150,72020
TetR_0,2624,326532,72402
TetR_0,2655,326770,72640
TetR_0,2686,326555,72425
TetR_0,2717,326727,72597
TetR_0,2748,326751,72621
TetR_0,2779,326797,72667
TetR_0,2809,326903,72773
TetR_0,2840,327191,73061
TetR_0,2871,327036,72906
TetR_0,2902,326753,72623
TetR_1,0,297325,0
TetR_1,30,293758,0
TetR_1,61,292189,0
TetR_1,92,291960,0
TetR_1,123,292408,0
TetR_1,154,291901,0
TetR_1,185,291986,0
TetR_1,216,292167,0
TetR_1,247,291721,0
TetR_1,278,291711,0
TetR_1,309,291618,0
TetR_1,340,291848,0
TetR_1,371,291944,0
TetR_1,402,292138,0
TetR_1,432,292084,0
TetR_1,463,292799,0
TetR_1,494,293956,0
TetR_1,525,294805,0
TetR_1,556,296308,0
TetR_1,587,298114,789
TetR_1,618,299752,2427
TetR_1,649,302060,4735
TetR_1,679,304229,6904
TetR_1,710,306542,9217
TetR_1,741,309496,12171
TetR_1,772,311891,14566
TetR_1,803,315052,17727
TetR_1,834,317759,20434
TetR_1,865,319648,22323
TetR_1,896,320438,23113
TetR_1,926,322448,25123
TetR_1,957,324985,27660
TetR_1,988,328089,30764
TetR_1,1019,329127,31802
TetR_1,1050,331726,34401
TetR_1,1081,333134,35809
TetR_1,1112,334964,37639
TetR_1,1142,337702,40377
TetR_1,1173,339523,42198
TetR_1,1204,342003,44678
TetR_1,1235,342764,45439
TetR_1,1266,345064,47739
TetR_1,1297,347547,50222
TetR_1,1328,348808,51483
TetR_1,1359,350854,53529
TetR_1,1389,351755,54430
TetR_1,1420,353493,56168
TetR_1,1451,355099,57774
TetR_1,1482,356358,59033
TetR_1,1513,357592,60267
TetR_1,1544,358184,60859
TetR_1,1575,359454,62129
TetR_1,1606,360087,62762
TetR_1,1636,361150,63825
TetR_1,1667,361687,64362
TetR_1,1698,362126,64801
TetR_1,1729,362741,65416
TetR_1,1760,363444,66119
TetR_1,1791,364076,66751
TetR_1,1822,364663,67338
TetR_1,1852,365345,68020
TetR_1,1883,365924,68599
TetR_1,1914,366507,69182
TetR_1,1945,366786,69461
TetR_1,1976,367254,69929
TetR_1,2007,368132,70807
TetR_1,2038,368885,71560
TetR_1,2069,369105,71780
TetR_1,2099,369438,72113
TetR_1,2130,369704,72379
TetR_1,2161,370001,72676
TetR_1,2192,370003,72678
TetR_1,2223,370374,73049
TetR_1,2254,370355,73030
TetR_1,2285,370659,73334
TetR_1,2316,370532,73207
TetR_1,2346,370839,73514
TetR_1,2377,370645,73320
TetR_1,2408,370330,73005
TetR_1,2439,370471,73146
TetR_1,2470,370367,73042
TetR_1,2501,369900,72575
TetR_1,2532,369450,72125
TetR_1,2562,369027,71702
TetR_1,2593,368617,71292
TetR_1,2624,368876,71551
TetR_1,2655,368655,71330
TetR_1,2686,368416,71091
TetR_1,2717,368454,71129
TetR_1,2748,368457,71132
TetR_1,2779,368198,70873
TetR_1,2809,368341,71016
TetR_1,2840,368456,71131
TetR_1,2871,368306,70981
TetR_1,2902,367765,70440
TetR_10,0,291820,0
TetR_10,30,288120,0
TetR_10,61,286903,0
TetR_10,92,286613,0
TetR_10,123,286907,0
