Time,WT_0_A,WT_0_B,WT_0_C,WT_0.75_A,WT_0.75_B,WT_0.75_C,WTarcA_0_A,WTarcA_0_B,WTarcA_0_C,WTarcA_0.75_A,WTarcA_0.75_B,WTarcA_0.75_C,TetR_0_A,TetR_0_B,TetR_0_C,TetR_20_A,TetR_20_B,TetR_20_B,TetRarcA_0_A,TetRarcA_0_B,TetRarcA_0_C,TetRarcA_20_A,TetRarcA_20_B,TetRarcA_20_C,ctrl1,ctrl2
0:00:00,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,
0:30:00,0.1,0.1,0.11,,,,0.13,0.13,0.15,,,,0.05,0.05,0.04,,,,0.1,0.12,0.1,,,,,
1:00:00,0.25,0.24,0.25,0.12,0.14,0.15,0.33,0.24,0.29,0.11,0.14,0.12,0.08,0.09,0.07,0.04,0.03,0.04,0.13,0.13,0.15,0.11,0.1,0.1,,
1:30:00,0.52,0.5,0.49,,,,0.55,0.43,0.5,,,,0.15,0.15,0.15,,,,0.2,0.2,0.2,,,,,
2:00:00,1.08,1.05,1.05,0.25,0.25,0.25,0.95,0.77,0.84,0.24,0.26,0.27,0.29,0.3,0.27,0.05,0.04,0.06,0.27,0.27,0.32,0.18,0.1,0.13,,
2:10:00,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,
2:12:00,,,,,,,1.03,0.82,0.93,,,,,,,,,,,,,,,,,
2:15:00,,,,,,,0.1,0.1,0.1,,,,,,,,,,,,,,,,,
2:31:00,0.19,0.21,0.28,,,,0.22,0.23,0.22,,,,0.73,0.73,0.78,,,,0.6,0.59,0.52,,,,,
2:56:00,0.48,0.54,0.54,,,,0.31,0.39,0.31,,,,0.99,0.87,0.83,,,,0.55,0.56,0.58,,,,,
3:00:00,,,,,,,,,,,,,0.1,0.1,0.1,,,,,,,,,,,
3:01:00,,,,0.38,0.39,0.48,,,,0.4,0.47,0.47,,,,0.21,0.2,0.12,,,,0.22,0.16,0.25,0.01,0
3:31:00,0.97,0.98,1.01,,,,0.59,0.55,0.54,,,,0.15,0.19,0.18,,,,0.85,0.9,0.91,,,,,
3:43:00,0.1,0.1,0.1,,,,,,,,,,0.18,0.23,0.21,,,,0.96,0.92,0.9,,,,,
3:50:00,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,,,,,
4:00:00,0.14,0.15,0.12,0.52,0.59,0.57,0.88,0.84,0.75,0.5,0.63,0.56,0.32,0.38,0.37,0.09,0.04,0.08,0.1,0.09,0.08,0.13,0.14,0.16,,
4:16:00,,,,,,,0.98,0.96,0.92,,,,,,,,,,,,,,,,,
4:20:00,,,,,,,0.1,0.1,0.1,,,,,,,,,,,,,,,,,
4:31:00,0.42,0.42,0.41,,,,0.12,0.13,0.15,,,,0.58,0.67,0.69,,,,0.19,0.18,0.17,,,,,
5:00:00,0.85,0.89,0.88,0.82,0.88,0.87,0.29,0.33,0.3,0.62,0.78,0.68,0.98,1.12,1.1,0.1,0.08,0.1,0.24,0.3,0.29,0.17,0.18,0.18,,
5:09:00,0.88,0.94,0.9,,,,,,,,,,0.1,0.1,0.1,,,,,,,,,,,
5:17:00,0.99,1.04,1.06,,,,,,,,,,,,,,,,,,,,,,,
5:32:00,,,,0.98,1.08,1.05,0.5,0.56,0.49,0.68,0.85,0.75,0.15,0.15,0.14,0.11,0.08,0.1,0.42,0.48,0.48,0.19,0.17,0.23,,
5:40:00,,,,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,
6:01:00,,,,,,,0.74,0.84,0.78,,,,0.32,0.31,0.27,,,,0.58,0.69,0.69,,,,0.01,0
6:13:00,,,,,,,0.89,1.02,0.92,,,,,,,,,,,,,,,,,
6:28:00,,,,,,,,,,0.75,0.9,0.86,,,,,,,0.83,1.01,0.99,,,,,
6:35:00,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,,,,,
6:47:00,,,,0.16,0.17,0.16,,,,0.75,0.92,0.86,0.84,0.83,0.8,0.11,0.09,0.12,0.11,0.12,0.1,0.19,0.2,0.22,,
7:02:00,,,,,,,,,,0.77,0.93,0.87,,,,,,,,,,,,,,
7:15:00,,,,0.21,0.2,0.2,,,,0.82,0.98,0.9,,,,0.16,0.09,0.13,0.21,0.23,0.23,0.2,0.2,0.24,,
7:30:00,,,,,,,,,,0.1,0.1,0.1,,,,,,,,,,,,,,
7:45:00,,,,0.26,0.26,0.26,,,,0.13,0.09,0.1,,,,0.12,0.1,0.14,0.34,0.37,0.37,0.23,0.21,0.25,,
8:15:00,,,,0.35,0.34,0.32,,,,0.17,0.11,0.12,,,,0.17,0.13,0.15,0.54,0.58,0.6,0.22,0.21,0.23,,
